"1","ゴールデンエール","Golden Ale","ごーるでんえーる","68","5",\N,"1","4.8","21","3.5"
"2","アンバーエール","Amber Ale","あんばーえーる","8","5",\N,"1","5.2","24","15.3"
"3","ライジングサンペールエール","Rising Sun Pale Ale","らいじんぐさんぺーるえーる","68","5",\N,"2","5.1",\N,\N
"4","パンク・IPA","Punk IPA","ぱんくあいぴーえー","13",\N,\N,"3","5.6","45",\N
"5","デッドポニークラブ","Dead Pony Club","でっどぽにーくらぶ","68","5",\N,"3","3.8",\N,\N
"6","5am・セイント","5am Saint","ふぁいぶえいえむせいんと","85",\N,\N,"3","5.0","25",\N
"7","ハードコア・IPA","Hardcore IPA","はーどこああいぴーえー","12",\N,\N,"3","9.2","150",\N
"8","リバティン・ブラック・エール","Libertine Black Ale","りばてぃんぶらっくえーる","62",\N,\N,"3","7.2",\N,\N
"9","さくら","Sakura","さくら","41",\N,\N,"1","5.0","17","4.2"
